Pclass,Family Size,Fare Per Person,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Age Group,PassengerId,Survived
0.0,1.0,-0.2847715736040609,0.0,1.0,0.0,0.0,1.0,0.0,1,0
-2.0,1.0,1.6654812182741114,1.0,0.0,1.0,0.0,0.0,0.0,2,1
0.0,0.0,-0.02284263959390868,1.0,0.0,0.0,0.0,1.0,0.0,3,1
-2.0,1.0,1.1116751269035532,1.0,0.0,0.0,0.0,1.0,0.0,4,1
0.0,0.0,-0.015228426395939085,0.0,1.0,0.0,0.0,1.0,0.0,5,0
0.0,0.0,0.009642639593908554,0.0,1.0,0.0,1.0,0.0,4.0,6,0
-2.0,0.0,2.6535532994923856,0.0,1.0,0.0,0.0,1.0,2.0,7,0
0.0,4.0,-0.24883248730964472,0.0,1.0,0.0,0.0,1.0,1.0,8,0
0.0,2.0,-0.2795269035532995,1.0,0.0,0.0,0.0,1.0,0.0,9,1
-1.0,1.0,0.41027817258883237,1.0,0.0,1.0,0.0,0.0,3.0,10,1
0.0,2.0,-0.16649746192893405,1.0,0.0,0.0,0.0,1.0,1.0,11,1
-2.0,0.0,1.1116751269035532,1.0,0.0,0.0,0.0,1.0,2.0,12,1
0.0,0.0,-0.015228426395939085,0.0,1.0,0.0,0.0,1.0,0.0,13,0
0.0,6.0,-0.23343002175489488,0.0,1.0,0.0,0.0,1.0,0.0,14,0
0.0,0.0,-0.02715532994923864,1.0,0.0,0.0,0.0,1.0,3.0,15,0
-1.0,0.0,0.4690355329949238,1.0,0.0,0.0,0.0,1.0,2.0,16,1
0.0,5.0,-0.2098984771573604,0.0,1.0,0.0,1.0,0.0,1.0,17,0
-1.0,0.0,0.28629441624365476,0.0,1.0,0.0,0.0,1.0,4.0,18,1
0.0,1.0,0.0426395939086294,1.0,0.0,0.0,0.0,1.0,0.0,19,0
0.0,0.0,-0.06548223350253814,1.0,0.0,1.0,0.0,0.0,4.0,20,1
-1.0,0.0,1.0781725888324871,0.0,1.0,0.0,0.0,1.0,0.0,21,0
-1.0,0.0,0.28629441624365476,0.0,1.0,0.0,0.0,1.0,0.0,22,1
0.0,0.0,-0.016495431472081296,1.0,0.0,0.0,1.0,0.0,3.0,23,1
-2.0,0.0,1.6568527918781724,0.0,1.0,0.0,0.0,1.0,0.0,24,1
0.0,4.0,-0.24883248730964472,1.0,0.0,0.0,0.0,1.0,1.0,25,0
0.0,6.0,-0.2324510514865845,1.0,0.0,0.0,0.0,1.0,0.0,26,1
0.0,0.0,-0.06548223350253814,0.0,1.0,1.0,0.0,0.0,4.0,27,0
-2.0,5.0,2.164467005076142,0.0,1.0,0.0,0.0,1.0,0.0,28,0
0.0,0.0,-0.02563248730964471,1.0,0.0,0.0,1.0,0.0,4.0,29,1
0.0,0.0,-0.024621319796954335,0.0,1.0,0.0,0.0,1.0,4.0,30,0
